,parent,children
area_1,,"['area_2', 'area_31', 'area_25']"
area_2,area_1,[]
area_31,area_1,['area_30']
area_30,area_31,"['area_32', 'area_63']"
area_32,area_30,"['area_33', 'area_58', 'area_86']"
area_33,area_32,"['area_34', 'area_35', 'area_29']"
area_34,area_33,[]
area_35,area_33,['area_36']
area_36,area_35,['area_37']
area_37,area_36,['area_38']
area_38,area_37,['area_59']
area_59,area_38,['area_72']
area_72,area_59,[]
area_29,area_33,"['area_28', 'area_45']"
area_28,area_29,[]
area_45,area_29,"['area_46', 'area_73']"
area_46,area_45,"['area_47', 'area_65']"
area_47,area_46,"['area_49', 'area_12']"
area_49,area_47,['area_48']
area_48,area_49,['area_85']
area_85,area_48,[]
area_12,area_47,['area_11']
area_11,area_12,['area_10']
area_10,area_11,['area_7']
area_7,area_10,"['area_6', 'area_8']"
area_6,area_7,['area_3']
area_3,area_6,['area_4']
area_4,area_3,['area_5']
area_5,area_4,['area_13']
area_13,area_5,"['area_14', 'area_74']"
area_14,area_13,"['area_15', 'area_56']"
area_15,area_14,['area_16']
area_16,area_15,"['area_23', 'area_44']"
area_23,area_16,['area_60']
area_60,area_23,['area_61']
area_61,area_60,[]
area_44,area_16,['area_43']
area_43,area_44,"['area_42', 'area_50']"
area_42,area_43,['area_41']
area_41,area_42,['area_39']
area_39,area_41,['area_40']
area_40,area_39,[]
area_50,area_43,['area_51']
area_51,area_50,['area_52']
area_52,area_51,[]
area_56,area_14,['area_57']
area_57,area_56,[]
area_74,area_13,[]
area_8,area_7,['area_9']
area_9,area_8,"['area_62', 'area_68', 'area_88']"
area_62,area_9,[]
area_68,area_9,['area_79']
area_79,area_68,[]
area_88,area_9,"['area_89', 'area_90', 'area_91', 'area_92', 'area_93', 'area_94', 'area_95', 'area_96', 'area_97', 'area_98', 'area_99']"
area_89,area_88,[]
area_90,area_88,[]
area_91,area_88,[]
area_92,area_88,[]
area_93,area_88,[]
area_94,area_88,[]
area_95,area_88,[]
area_96,area_88,[]
area_97,area_88,[]
area_98,area_88,[]
area_99,area_88,[]
area_65,area_46,[]
area_73,area_45,[]
area_58,area_32,"['area_82', 'area_83', 'area_84']"
area_82,area_58,[]
area_83,area_58,[]
area_84,area_58,[]
area_86,area_32,[]
area_63,area_30,"['area_67', 'area_69', 'area_70', 'area_87']"
area_67,area_63,[]
area_69,area_63,[]
area_70,area_63,[]
area_87,area_63,[]
area_25,area_1,['area_24']
area_24,area_25,"['area_19', 'area_26', 'area_66']"
area_19,area_24,"['area_18', 'area_20', 'area_75', 'area_76']"
area_18,area_19,"['area_17', 'area_77']"
area_17,area_18,[]
area_77,area_18,"['area_78', 'area_80', 'area_81']"
area_78,area_77,[]
area_80,area_77,[]
area_81,area_77,[]
area_20,area_19,['area_21']
area_21,area_20,['area_22']
area_22,area_21,['area_55']
area_55,area_22,[]
area_75,area_19,[]
area_76,area_19,[]
area_26,area_24,"['area_27', 'area_64', 'area_71']"
area_27,area_26,['area_54']
area_54,area_27,['area_53']
area_53,area_54,[]
area_64,area_26,[]
area_71,area_26,[]
area_66,area_24,[]
